Table Name,Column Name,Data Type,Full Data Type,Is Nullable,Default Value,Is Primary Key,Foreign Key Reference,Column Position,Table Purpose
onboarding_docs,created_at,timestamp without time zone,timestamp without time zone,YES,CURRENT_TIMESTAMP,NO,,8,Record creation timestamp
onboarding_docs,updated_at,timestamp without time zone,timestamp without time zone,YES,CURRENT_TIMESTAMP,NO,,9,Record update timestamp
order_drafts,id,integer,"integer(32,0)",NO,nextval('order_drafts_id_seq'::regclass),YES,,1,Manufacturing order drafts and completed orders
order_drafts,order_id,text,text,NO,,NO,,2,Unique order identifier
order_drafts,order_date,timestamp without time zone,timestamp without time zone,NO,,NO,,3,Order date
order_drafts,due_date,timestamp without time zone,timestamp without time zone,NO,,NO,,4,Order due date
order_drafts,customer_id,text,text,YES,,NO,,5,Customer reference
order_drafts,customer_po,text,text,YES,,NO,,6,Customer purchase order
order_drafts,fb_order_number,text,text,YES,,NO,,7,Facebook order number
order_drafts,agr_order_details,text,text,YES,,NO,,8,AGR order details
order_drafts,model_id,text,text,YES,,NO,,9,Stock model reference
order_drafts,handedness,text,text,YES,,NO,,10,Product handedness (Left/Right)
order_drafts,features,jsonb,jsonb,YES,,NO,,11,Selected product features
order_drafts,feature_quantities,jsonb,jsonb,YES,,NO,,12,Feature quantities
order_drafts,discount_code,text,text,YES,,NO,,13,Applied discount code
order_drafts,shipping,real,real(24),YES,0,NO,,14,Shipping cost
order_drafts,status,text,text,YES,'DRAFT'::text,NO,,15,Order status
order_drafts,created_at,timestamp without time zone,timestamp without time zone,YES,now(),NO,,16,Record creation timestamp
order_drafts,updated_at,timestamp without time zone,timestamp without time zone,YES,now(),NO,,17,Record update timestamp
order_drafts,shank_length,text,text,YES,,NO,,18,Product shank length
orders,id,integer,"integer(32,0)",NO,nextval('orders_id_seq'::regclass),YES,,1,Legacy orders table
orders,order_id,text,text,NO,,NO,,2,Order identifier
orders,customer,text,text,NO,,NO,,3,Customer name
orders,product,text,text,NO,,NO,,4,Product name
orders,quantity,integer,"integer(32,0)",NO,,NO,,5,Order quantity
orders,status,text,text,NO,,NO,,6,Order status
orders,date,timestamp without time zone,timestamp without time zone,NO,,NO,,7,Order date
pdf_documents,id,integer,"integer(32,0)",NO,nextval('pdf_documents_id_seq'::regclass),YES,,1,Generated PDF documents
pdf_documents,order_id,text,text,NO,,NO,,2,Related order ID
pdf_documents,document_type,text,text,NO,,NO,,3,Document type (invoice/packing slip/etc)
pdf_documents,file_url,text,text,NO,,NO,,4,File URL/path
pdf_documents,file_size,integer,"integer(32,0)",YES,,NO,,5,File size in bytes
pdf_documents,generated_at,timestamp without time zone,timestamp without time zone,YES,now(),NO,,6,Generation timestamp
pdf_documents,created_at,timestamp without time zone,timestamp without time zone,YES,now(),NO,,7,Record creation timestamp
persistent_discounts,id,integer,"integer(32,0)",NO,nextval('persistent_discounts_id_seq'::regclass),YES,,1,Long-term customer discount rates
persistent_discounts,customer_type_id,integer,"integer(32,0)",NO,,NO,customer_types(id),2,Customer type reference
persistent_discounts,percent,integer,"integer(32,0)",YES,,NO,,3,Percentage discount
persistent_discounts,is_active,integer,"integer(32,0)",NO,1,NO,,5,Active status
persistent_discounts,created_at,timestamp without time zone,timestamp without time zone,NO,now(),NO,,6,Record creation timestamp
persistent_discounts,updated_at,timestamp without time zone,timestamp without time zone,NO,now(),NO,,7,Record update timestamp
persistent_discounts,name,text,text,NO,,NO,,8,Discount name
persistent_discounts,description,text,text,YES,,NO,,9,Discount description
persistent_discounts,fixed_amount,integer,"integer(32,0)",YES,,NO,,10,Fixed amount discount (cents)
qc_definitions,id,integer,"integer(32,0)",NO,nextval('qc_definitions_id_seq'::regclass),YES,,1,Quality control check definitions
qc_definitions,line,text,text,NO,,NO,,2,Production line (P1/P2)
qc_definitions,department,text,text,NO,,NO,,3,Department
qc_definitions,final,boolean,boolean,YES,false,NO,,4,Final inspection flag
qc_definitions,key,text,text,NO,,NO,,5,Check identifier key
qc_definitions,label,text,text,NO,,NO,,6,Check label/description
qc_definitions,type,text,text,NO,,NO,,7,Check type (checkbox/number/text)
qc_definitions,required,boolean,boolean,YES,false,NO,,8,Required check flag
qc_definitions,sort_order,integer,"integer(32,0)",YES,0,NO,,9,Display sort order
qc_definitions,is_active,boolean,boolean,YES,true,NO,,10,Active status
qc_definitions,created_at,timestamp with time zone,timestamp with time zone,YES,now(),NO,,11,Record creation timestamp
qc_submissions,id,integer,"integer(32,0)",NO,nextval('qc_submissions_id_seq'::regclass),YES,,1,Quality control check submissions
qc_submissions,order_id,text,text,NO,,NO,,2,Related order ID
qc_submissions,line,text,text,NO,,NO,,3,Production line
qc_submissions,department,text,text,NO,,NO,,4,Department
qc_submissions,sku,text,text,NO,,NO,,5,Product SKU
qc_submissions,final,boolean,boolean,YES,false,NO,,6,Final inspection flag
qc_submissions,data,jsonb,jsonb,NO,,NO,,7,QC check results data
qc_submissions,signature,text,text,YES,,NO,,8,Digital signature
qc_submissions,summary,text,text,YES,,NO,,9,PASS/FAIL summary
qc_submissions,status,text,text,YES,'pending'::text,NO,,10,Submission status
qc_submissions,due_date,timestamp with time zone,timestamp with time zone,YES,,NO,,11,Due date
qc_submissions,submitted_at,timestamp with time zone,timestamp with time zone,YES,now(),NO,,12,Submission timestamp
qc_submissions,submitted_by,text,text,YES,,NO,,13,Submitted by user
short_term_sales,id,integer,"integer(32,0)",NO,nextval('short_term_sales_id_seq'::regclass),YES,,1,Temporary sales/promotions
short_term_sales,name,text,text,NO,,NO,,2,Sale name
short_term_sales,percent,integer,"integer(32,0)",NO,,NO,,3,Discount percentage
short_term_sales,start_date,timestamp without time zone,timestamp without time zone,NO,,NO,,4,Sale start date
short_term_sales,end_date,timestamp without time zone,timestamp without time zone,NO,,NO,,5,Sale end date
short_term_sales,is_active,integer,"integer(32,0)",NO,1,NO,,6,Active status
short_term_sales,created_at,timestamp without time zone,timestamp without time zone,NO,now(),NO,,7,Record creation timestamp
stock_models,id,text,text,NO,,YES,,1,Product stock model definitions
stock_models,name,text,text,NO,,NO,,2,Model name
stock_models,display_name,text,text,NO,,NO,,3,Display name
stock_models,price,real,real(24),NO,,NO,,4,Base price
stock_models,description,text,text,YES,,NO,,5,Model description
stock_models,is_active,boolean,boolean,YES,true,NO,,6,Active status
stock_models,sort_order,integer,"integer(32,0)",YES,0,NO,,7,Display sort order
stock_models,created_at,timestamp without time zone,timestamp without time zone,YES,now(),NO,,8,Record creation timestamp
stock_models,updated_at,timestamp without time zone,timestamp without time zone,YES,now(),NO,,9,Record update timestamp
time_clock_entries,id,integer,"integer(32,0)",NO,nextval('time_clock_entries_id_seq'::regclass),YES,,1,Employee time clock entries
time_clock_entries,employee_id,text,text,NO,,NO,,2,Employee reference
time_clock_entries,clock_in,timestamp without time zone,timestamp without time zone,YES,,NO,,3,Clock in time
time_clock_entries,clock_out,timestamp without time zone,timestamp without time zone,YES,,NO,,4,Clock out time
time_clock_entries,date,date,date,NO,,NO,,5,Work date
time_clock_entries,created_at,timestamp without time zone,timestamp without time zone,YES,now(),NO,,6,Record creation timestamp
users,id,integer,"integer(32,0)",NO,nextval('users_id_seq'::regclass),YES,,1,System user accounts
users,username,text,text,NO,,NO,,2,Username
users,password,text,text,NO,,NO,,3,Encrypted password
